"competitor_match","company_number","legal_name","fit_tier","accounts_made_up_to","net_assets_ixbrl","cash_ixbrl","current_assets_ixbrl","avg_employees_ixbrl","pl_turnover_note","companies_house_url","correction_note"
"The Coaching Revolution","12897184","THE COACHING REVOLUTION LTD","benchmark","31 December 2024","6,579","","11,998","1","P&L not filed (s.444) / micro — turnover not publicly disclosed","https://find-and-update.company-information.service.gov.uk/company/12897184",""
"Better Bolder Braver","14906337","BETTER BOLDER BRAVER LIMITED","benchmark","31 December 2025","-619","3,600","4,050","1","P&L not filed (s.444) / micro — turnover not publicly disclosed","https://find-and-update.company-information.service.gov.uk/company/14906337","BBB/Fearless/BCA signs taken from iXBRL sign=""-"" attribute"
"Barefoot Coaching","06932330","BAREFOOT COACHING LIMITED","focus","31 December 2025","36,907","513,977","1,219,615","9","P&L not filed (s.444) / micro — turnover not publicly disclosed","https://find-and-update.company-information.service.gov.uk/company/06932330",""
"Barefoot Coaching Holdings","15307680","BAREFOOT COACHING HOLDINGS LIMITED","holding","31 December 2025","1,521,732","18,142","18,142","2","P&L not filed (s.444) / micro — turnover not publicly disclosed","https://find-and-update.company-information.service.gov.uk/company/15307680",""
"Joanna Lott Coaching","15224848","JOANNA LOTT COACHING LTD","focus","31 October 2025","47,935","","85,814","1","P&L not filed (s.444) / micro — turnover not publicly disclosed","https://find-and-update.company-information.service.gov.uk/company/15224848",""
"Make Real Progress","13544813","MAKE REAL PROGRESS LTD","focus","31 August 2025","56,373","","68,566","2","P&L not filed (s.444) / micro — turnover not publicly disclosed","https://find-and-update.company-information.service.gov.uk/company/13544813",""
"Fearless Business","11452029","FEARLESS BUSINESS LIMITED","focus","31 July 2025","-48,398","","-46,299","1","P&L not filed (s.444) / micro — turnover not publicly disclosed","https://find-and-update.company-information.service.gov.uk/company/11452029","BBB/Fearless/BCA signs taken from iXBRL sign=""-"" attribute"
"UK Growth Coach","12147081","UK GROWTH COACH LIMITED","focus","31 August 2025","31,553","58,294","68,330","4","P&L not filed (s.444) / micro — turnover not publicly disclosed","https://find-and-update.company-information.service.gov.uk/company/12147081",""
"Business Coach Academy","14306177","BUSINESS COACH ACADEMY LIMITED","focus","31 August 2025","-10,477","5,186","109,489","1","P&L not filed (s.444) / micro — turnover not publicly disclosed","https://find-and-update.company-information.service.gov.uk/company/14306177","BBB/Fearless/BCA signs taken from iXBRL sign=""-"" attribute"
