Companies with address issues:
                                                                             Provider Name     UKPRN                                                                                                                                 Head Office Address                                   Address Issues
9                                                               W @ H SAFETY SOLUTIONS LTD  10091897                                                                               The Bailey,, Cumberland Road, North Shields, United Kingdom, NE29 8RD                          Double comma in address
197   NATIONAL FILM AND TELEVISION SCHOOL(THE) T/A The National Film and Television School  10004511                                                                             Beaconsfield Film Studios, Station Road,, Beaconsfield,, Bucks, HP9 1LG                          Double comma in address
463                                     FORESTRY COMMISSION T/A Forestry Training Services  10012863                                                                                   Forestry Commission, Jasikan, Jasikan District, Oti Region, Ghana          Address appears to be in Ghana (not UK)
759                                                            TENDEAN LIMITED T/A Tendean  10052473                                    Unit 3 Ambrose House, Meteor Court, Barnett Way, Barnwood, Gloucester,, Gloucestershire, United Kingdom, GL4 3GG                          Double comma in address
828                                    THE UNIVERSITY OF READING T/A University of Reading  10007802  Christian Science Reading Room, 927, Yonge Street, Rosedale-Moore Park, Universityâ€”Rosedale, Toronto, Golden Horseshoe, Ontario, M4W 3C7, Canada         Address appears to be in Canada (not UK)
1118           WESTON COLLEGE OF FURTHER AND HIGHER EDUCATION T/A University Centre Weston  10007459           Weston Community Center, Duff Drive, White Course Apartments, State College, Centre County, Pennsylvania, 16802, United States of America  Address appears to be in United States (not UK)
1141                                                  NATIONAL HORSERACING COLLEGE LIMITED  10004748                                                                        The Stables, Rossington Hall, Great North Road,, Doncaster,S Yorks, DN11 0HN                          Double comma in address
1271                               ESSEX COUNTY COUNCIL T/A Adult Community Learning Essex  10002327                                           Council on Aging, Lafayette Road, Salisbury, Essex County, Massachusetts, 01952, United States of America  Address appears to be in United States (not UK)
1313                                         ARDEN UNIVERSITY LIMITED T/A Arden University  10005451                                                         Arden Villas Boulevard, University, Orange County, Florida, 32817, United States of America  Address appears to be in United States (not UK)
